T,S,x,p,s,t,i,tks
t,BTCUSD,CBSE,19917.96,0.00136,2022-09-18T11:01:30.810345Z,413365931,B
t,BTCUSD,CBSE,19319.35,0.00190997,2022-10-10T14:08:44.785917Z,429140947,S
t,BTCUSD,CBSE,19317.52,0.02388001,2022-10-10T14:08:44.989781Z,429140949,B
t,BTCUSD,CBSE,19317.53,0.00199999,2022-10-10T14:08:44.989781Z,429140948,B
t,BTCUSD,CBSE,19317.53,9.99E-06,2022-10-10T14:08:45.097924Z,429140951,B
t,BTCUSD,CBSE,19317.53,0.001,2022-10-10T14:08:45.163823Z,429140954,B
t,BTCUSD,CBSE,19316.79,0.03816,2022-10-10T14:08:45.318696Z,429140957,B
t,BTCUSD,CBSE,19316.79,8.60E-07,2022-10-10T14:08:45.323783Z,429140958,B
t,BTCUSD,CBSE,19315.01,0.258866,2022-10-10T14:08:45.528747Z,429140961,B
t,BTCUSD,CBSE,19315.18,0.02588636,2022-10-10T14:08:45.528747Z,429140960,B
t,BTCUSD,CBSE,19314.35,0.05,2022-10-10T14:08:46.682528Z,429140963,B
t,BTCUSD,CBSE,19314.46,0.01308,2022-10-10T14:08:46.695242Z,429140965,B
t,BTCUSD,CBSE,19314.45,0.000576,2022-10-10T14:08:46.711675Z,429140967,B
t,BTCUSD,CBSE,19314.45,0.00051079,2022-10-10T14:08:46.727364Z,429140969,B
t,BTCUSD,CBSE,19314.44,0.001,2022-10-10T14:08:46.744165Z,429140970,B
t,BTCUSD,CBSE,19315.18,0.00024,2022-10-10T14:08:46.769779Z,429140971,B
t,BTCUSD,CBSE,19315.18,0.0001511,2022-10-10T14:08:47.162139Z,429140972,B
t,BTCUSD,CBSE,19312.84,0.02359928,2022-10-10T14:08:47.818661Z,429140975,B
t,BTCUSD,CBSE,19314.53,7.90E-05,2022-10-10T14:08:47.869546Z,429140976,B
t,BTCUSD,CBSE,19314.16,0.01268353,2022-10-10T14:08:48.061609Z,429140979,B
t,BTCUSD,CBSE,19314.15,0.0003405,2022-10-10T14:08:48.471699Z,429140980,B
t,BTCUSD,CBSE,19314.16,9.50E-06,2022-10-10T14:08:48.519385Z,429140985,B
t,BTCUSD,CBSE,19314.17,0.05,2022-10-10T14:08:48.519385Z,429140986,B
t,BTCUSD,CBSE,19314.15,0.001,2022-10-10T14:08:48.571395Z,429140994,B
t,BTCUSD,CBSE,19315.21,0.00105383,2022-10-10T14:08:48.877495Z,429140997,B
t,BTCUSD,CBSE,19315.21,3.75E-05,2022-10-10T14:08:49.061349Z,429141000,B
t,BTCUSD,CBSE,19315.53,0.00028,2022-10-10T14:08:49.322228Z,429141002,B
t,BTCUSD,CBSE,19312.16,0.02907718,2022-10-10T14:08:50.094134Z,429141010,B
t,BTCUSD,CBSE,19312.84,0.00235341,2022-10-10T14:08:50.094134Z,429141005,B
t,BTCUSD,CBSE,19312.86,0.00164,2022-10-10T14:08:50.157402Z,429141011,B
t,BTCUSD,CBSE,19312.86,2.07E-06,2022-10-10T14:08:50.225579Z,429141012,B
t,BTCUSD,CBSE,19310.21,0.314,2022-10-10T14:08:50.278608Z,429141017,B
t,BTCUSD,CBSE,19308.8,0.03856481,2022-10-10T14:08:50.602423Z,429141028,B
t,BTCUSD,CBSE,19307.48,0.03,2022-10-10T14:08:50.693306Z,429141031,B
t,BTCUSD,CBSE,19307.98,0.05,2022-10-10T14:08:50.602423Z,429141030,B
t,BTCUSD,CBSE,19309.19,0.00968,2022-10-10T14:08:50.8379Z,429141036,B
t,BTCUSD,CBSE,19308.83,0.00145386,2022-10-10T14:08:50.956602Z,429141037,B
t,BTCUSD,CBSE,19309.35,0.01216974,2022-10-10T14:08:50.991771Z,429141041,B
t,BTCUSD,CBSE,19309.25,0.0010177,2022-10-10T14:08:50.991564Z,429141038,B
t,BTCUSD,CBSE,19309.25,0.001,2022-10-10T14:08:51.016855Z,429141042,B
t,BTCUSD,CBSE,19309.29,0.001,2022-10-10T14:08:51.039985Z,429141043,B
t,BTCUSD,CBSE,19309.34,0.001,2022-10-10T14:08:51.05862Z,429141047,B
t,BTCUSD,CBSE,19309.97,0.00499757,2022-10-10T14:08:51.234146Z,429141051,B
t,BTCUSD,CBSE,19310.52,0.02589,2022-10-10T14:08:51.465547Z,429141052,B
t,BTCUSD,CBSE,19309.48,0.00105383,2022-10-10T14:08:51.567436Z,429141053,B
t,BTCUSD,CBSE,19311.86,0.00435929,2022-10-10T14:08:53.01512Z,429141054,B
t,BTCUSD,CBSE,19310.52,0.00012,2022-10-10T14:08:53.653549Z,429141055,B
t,BTCUSD,CBSE,19313.14,0.02,2022-10-10T14:08:53.69769Z,429141059,B
